id,rating,created,territory,reviewer,title,body
00000192-ff7a-3603-417c-464d00000000,1,2026-04-21T18:57:47-07:00,GBR,Leo PHB,Full of bugs,"This app was useless during the Artemis 2 mission, the mission tracker data was just plain wrong."
00000192-ff7a-3603-3f5a-56af00000000,4,2026-04-11T13:53:03-07:00,AUS,Fastlunch_1,Making it up,This app was a bit slow to update but the info was of good detail.
00000192-ff7a-3603-3f4b-d44100000000,3,2026-04-11T08:24:56-07:00,USA,Sophiedog6,Click still running?,It landed. I think you can turn off the flight duration clock now.
00000192-ff7a-3603-3f39-2b7800000000,3,2026-04-11T00:56:47-07:00,CHE,iROWI,Version 2.0.4(2),"Nach dem Splashdown ist das Tracking immer noch aktiv, Artemis immer noch weit von der Erde entfernt, 10.65 km/s!"
00000192-ff7a-3603-3f2b-e78100000000,1,2026-04-10T18:18:00-07:00,USA,Soberjoey,Don’t waste your time,"This App is garbage. From beginning to end nothing was correct.  The timing, the miles everything was off always    absolute garbage. Don’t waste your time.  I spent the extra money so I could get space weather. Space weather half the time wouldn’t update and I get an error message."
00000192-ff7a-3603-3f2a-f85b00000000,1,2026-04-10T17:52:32-07:00,CAN,Paytisa,Very inaccurate,"The app was extremely inaccurate the entire Artemis 2 mission and I feel
Like I blew 5$ down the drain"
00000192-ff7a-3603-3f29-f3af00000000,1,2026-04-10T17:24:29-07:00,USA,thisis so dumb and theft,Terrible delay,"This app was delayed by more than 19 minutes. Watching the news was 10/15 minutes faster than when I would get a notification from the app. Parachutes deployed notification was so delayed , the astronauts were IRL already getting out of the capsule."
00000192-ff7a-3603-3f29-cdea00000000,1,2026-04-10T17:20:24-07:00,GBR,jayden_437,Really out of sync data,Got notifications for certain events happening during the mission way after it actually happened. We’re talking 20/30 mins after each milestone. And data shown in app was always different to that of NASA so not sure what’s going on there. Really annoying
00000192-ff7a-3603-3f19-61a500000000,5,2026-04-10T10:14:09-07:00,USA,milkywaychristian,this is a beautiful app,"I truly am grateful to have ran across this beautiful app, totally worth the full price because of all the future missions. I love how it has live tracking down to miles and speed to a chance to see a live stream via youtube all from the same screen. Thank you for making this beautiful app! 🌖🚀🇺🇸"
00000192-ff7a-3603-3f0a-de4e00000000,1,2026-04-10T05:07:30-07:00,IRL,Wikaik,Mission Lagged,"The app worked for the first few hours of the mission and then automatically started counting down to the Artemis 3 mission so nothing was updating. Each stage said in 1 year rather than in a few days or hours . Today , on the day of landing it is working again. Disappointing"
00000192-ff7a-3603-3efe-065b00000000,2,2026-04-09T22:40:20-07:00,GBR,Lankymart,Disappointing cash grab,"Live telemetry was free but all of a sudden it’s now behind a paywall. Plus when it was ""free"" the live tracking was wrong at numerous times. Went back to the official NASA app in the end."
00000192-ff7a-3603-3ef9-0acd00000000,2,2026-04-09T19:54:37-07:00,USA,XxxYyyZzz12345678,Loved outbound tracking,I was able to track the outbound with the free app but then would need to pay for tracking the return flight.
00000192-ff7a-3603-3ee8-b71700000000,5,2026-04-09T12:19:39-07:00,CAN,Ho yeah,After the last upgrade everything went well !,Technical support helped me a lot during the firsts upgrades and the communication with them went very supportive and comprehensive !
00000192-ff7a-3603-3ed3-703600000000,2,2026-04-09T04:32:40-07:00,DEU,ArminGr,Ganz okay,Für die kostenlose Variante war die App ganz okay. Die Visualisierung der Strecke war fehlerhaft und nach einem Update sollte man dafür sorgen zahlen.
00000192-ff7a-3603-3ed0-659d00000000,2,2026-04-09T03:14:39-07:00,CHE,Fnx_QT,How is this developed?,Is this app vibe coded and tested ? 50% of the time things break or values / schema are not accurate. With update 2.0.0 screens do not react correctly and NASA API do not seem to respond…
00000192-ff7a-3603-3ec7-b33700000000,5,2026-04-08T22:36:55-07:00,USA,SeanStrauss,Outstanding!!!!!,"This wonderful app has great and simple graphics, full bios of each crew, member, and details about each section of the mission!!!!!"
00000192-ff7a-3603-3eb7-753800000000,4,2026-04-08T14:39:34-07:00,USA,Rozzz37,Awesome concept,"Not sure what I really got for the $4 Mission Control upgrade. It used to show me the CME’s on the weather module but since the last update, it just says “Could not load data: Decoding failed: the data couldn’t be read because it isn’t in the correct format” However, I’d still like to tip my hat to the developers for the real time data. The app is cool but needs a couple adjustments. Hope this hel"
00000192-ff7a-3603-3eb5-a9bb00000000,1,2026-04-08T13:50:37-07:00,USA,Asmith5398,Terrible,Very inaccurate and doesn’t make sense compared to NASA telemetry. Don’t bother with this app.
00000192-ff7a-3603-3eb1-8de300000000,5,2026-04-08T12:06:13-07:00,USA,Selgae5259,People update your scores,"This is a 5 star app and well worth the purchasing. The developer seems to be listening and is fixing the issues. I've had no more issues the last two days, absolutely love the widgets and the dev has now added details about future Artemis launches! This app is legit, thx dev(s)."
00000192-ff7a-3603-3eb0-98f700000000,4,2026-04-08T11:43:18-07:00,NLD,Rednose.,Very nice.,Version 2.0 makes the in-app purchase worth it.
